,date,author,text,id
0,Mar 31,LatinoNotForMAGA,"Never MAGA@LatinoNotForMAGA·Mar 31Replying to @BerddanDerrs, @carrydavid333, and 2 moreWhy would we fucking pray for that assface? He’s a crook that deserves to be in prison and have a big fat black man make him his bitch116480",110119933906105540
1,Mar 31,Fluffy_Napalm,Fluffy_Napalm@Fluffy_Napalm·Mar 31Replying to @LatinoNotForMAGAEvil is in you.7380,110119943121017344
2,Mar 31,FruitSnacks,FruitSnacks @FruitSnacks·Mar 31Replying to @Fluffy_Napalm and @LatinoNotForMAGA836141,110119946069058063
3,Mar 31,FruitSnacks,"FruitSnacks @FruitSnacks·Mar 31Replying to @Fluffy_Napalm, @FruitSnacks, and 1 more721120",110119947050940370
4,Mar 31,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·Mar 31Replying to @FruitSnacks, @Fluffy_Napalm, and 1 more1550218",110119953244250511
5,Mar 31,OksanaTrump," OKᔕᗩᑎᗩ Tᖇᑌᗰᑭ Verified Account@OksanaTrump·Mar 31Replying to @FruitSnacks, @Fluffy_Napalm, and 2 more2239183",110119955191241665
6,Mar 31,GodandCountryy,"God & Country@GodandCountryy·Mar 31Replying to @sbpushnik, @Fluffy_Napalm, and 3 more11163258",110119988442268549
7,Mar 31,GodandCountryy,"God & Country@GodandCountryy·Mar 31Replying to @sbpushnik, @Fluffy_Napalm, and 4 more8 years now.944175",110119989866030235
8,Mar 31,GodandCountryy,"God & Country@GodandCountryy·Mar 31Replying to @sbpushnik, @Fluffy_Napalm, and 4 more434152",110119990980187772
9,Mar 31,GodandCountryy,"God & Country@GodandCountryy·Mar 31Replying to @sbpushnik, @Fluffy_Napalm, and 4 moreOur President 22190",110119992459595906
10,Mar 31,GodandCountryy,"God & Country@GodandCountryy·Mar 31Replying to @sbpushnik, @Fluffy_Napalm, and 4 more959224",110119993894349542
11,Apr 4,Fluffy_Napalm,Fluffy_Napalm@Fluffy_Napalm·Apr 4Replying to @LatinoNotForMAGAShow me the person and I'll show you the crime. Communism at its finest.2,110142203695093500
12,Apr 4,fmagadan,fmagadan@fmagadan·Apr 4Replying to @LatinoNotForMAGAGo find yourself....huh,110142329808291151
13,Apr 4,fmagadan,fmagadan@fmagadan·Apr 4Replying to @LatinoNotForMAGAYou're part of the problem. Talk about beaking brainwashed. LMAO go look in a mirror. Why are you so interested in being on this page? Move on troll.,110142338064221114
14,Mar 31,mkaymckay63,"Marlene@mkaymckay63·Mar 31Replying to @YalePhD, @DLDawson, and 7 moreGod has President Trumps back & ours!  He’ll deal with the DemonCrats & Media that has sold their soles to Satan for a buck!6221",110120753517485309
15,Mar 31,LatinoNotForMAGA,"Never MAGA@LatinoNotForMAGA·Mar 31Replying to @mkaymckay63, @DLDawson, and 8 moreThere’s no god, you fucking moron61",110120789879689334
16,Mar 31,mkaymckay63,"Marlene@mkaymckay63·Mar 31Replying to @LatinoNotForMAGA, @DLDawson, and 8 moreThat would be your name& Judgement Day also is coming in Your pathetic future!  Maybe then you’ll think differently!116",110120831181130506
17,Mar 31,Persia13,"Miss Tonya@Persia13·Mar 31Replying to @LatinoNotForMAGA, @DLDawson, and 8 moreTold you democrats are evil!110",110120950213497191
18,Mar 31,mitch_ad96,"I Stand with Pres. Trump @mitch_ad96·Mar 31Replying to @Persia13, @DLDawson, and 9 moreThey removed the ‘n’ in the middle so it is not too obvious.  So yes they are literally and figuratively.5",110120998701890781
19,Mar 31,christinruud,"Christin@christinruud·Mar 31Replying to @LatinoNotForMAGA, @DLDawson, and 8 moreYou are full of hate….you must be a democrat.  We love Trump and stand with him. God Bless Trump and his family. 1111",110121079926972046
